id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
25596,invited,21,3,4,0,1,1,Second Upper,English,Bachelor,Full Time,The Chinese University of Hong Kong,47,3,6,
25597,rejected,23,3,3,0,1,1,Second Lower,Others,Bachelor,Full Time,The University of Hong Kong,45,6,28,
25599,invited,21,2,4,0,1,1,Second Upper,Accounting,Bachelor,Full Time,The University of Hong Kong,46,4,19,
25600,invited,23,0,3,0,1,2,First,Marketing,Bachelor,Full Time,City University of Hong Kong,33,3,32,
25602,invited,21,4,3,3,2,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,4,
25603,invited,22,1,3,1,0,1,Second Upper,Business Information Systems,Bachelor,Full Time,The Hong Kong University of Science and Technology,57,3,11,
25605,rejected,22,2,3,0,1,1,Second Lower,Economics,Bachelor,Full Time,London School of Economics and Political Science (LSE),34,2,4,
25608,rejected,21,1,3,2,1,1,Second Upper,Accounting,Bachelor,Full Time,The Chinese University of Hong Kong,46,4,12,
25609,invited,21,0,3,0,0,1,Second Upper,Accounting,Bachelor,Full Time,City University of Hong Kong,45,1,4,
25613,invited,24,2,2,1,1,2,First,Others,Master,Full Time,University of Pennsylvania,28,4,13,
25617,invited,22,6,3,2,1,1,First,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,25,
25618,invited,23,3,3,9,1,5,Second Upper,International Business,Bachelor,Full Time,City University of Hong Kong,35,4,10,
25619,rejected,26,1,3,2,1,2,Second Upper,Others,Bachelor,Full Time,The University of Exeter,45,3,48,
25620,rejected,21,1,3,0,1,1,Second Upper,Business Administration,Bachelor,Full Time,Others,45,4,35,
25622,invited,24,1,3,1,0,1,First,International Business,Bachelor,Full Time,City University of Hong Kong,34,3,23,
25626,rejected,22,0,3,1,1,1,Second Upper,Political Science,Bachelor,Full Time,The Chinese University of Hong Kong,33,2,23,
25629,invited,21,3,3,0,1,2,First,Economics,Bachelor,Full Time,University of California  Los Angeles (UCLA),21,2,6,
25634,rejected,21,9,3,6,2,1,Second Upper,Business Administration,Bachelor,Full Time,Others,46,2,12,
25636,invited,21,5,3,1,1,1,Second Upper,Others,Bachelor,Full Time,The University of Hong Kong,47,4,9,
25637,invited,21,6,3,0,1,1,First,Others,Bachelor,Full Time,City University of Hong Kong,45,4,11,
25639,invited,21,2,3,3,0,1,First,International Business,Bachelor,Full Time,The University of Hong Kong,44,5,17,
25640,invited,22,2,3,0,1,1,Second Upper,Accounting,Bachelor,Full Time,The University of Hong Kong,47,3,7,
25642,invited,21,0,3,0,1,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,9,
25645,invited,22,2,3,1,1,2,Second Upper,Business Information Systems,Bachelor,Full Time,The Hong Kong University of Science and Technology,51,4,32,
25646,invited,22,1,3,2,1,1,Second Upper,Business Administration,Bachelor,Full Time,City University of Hong Kong,46,3,6,
25647,rejected,22,2,3,0,1,1,Second Lower,Others,Bachelor,Full Time,Others,60,2,6,
25648,invited,21,1,3,0,1,1,Second Upper,Accounting,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,3,
25649,invited,21,7,3,2,1,1,Second Upper,Business Administration,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,6,27,
25651,invited,21,1,3,0,1,2,Second Upper,English,Bachelor,Full Time,The University of Hong Kong,45,6,34,
25652,invited,21,3,3,3,1,2,Pass,Business Administration,Bachelor,Full Time,Kings College London,5,5,17,
25654,invited,21,3,3,0,1,1,Second Upper,Business Information Systems,Bachelor,Full Time,City University of Hong Kong,45,3,25,
25655,invited,22,5,4,0,0,1,Second Upper,Business Information Systems,Bachelor,Full Time,The Hong Kong Polytechnic University,45,5,39,
25657,rejected,23,1,3,0,0,1,Second Lower,Finance,Bachelor,Full Time,The Hong Kong University of Science and Technology,46,4,12,
