id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
16975,1,23,2,3,0,1,2,2,8,3,0,119,12,1,1,
16976,1,23,2,2,1,1,1,2,22,2,0,0,44,1,3,
16979,1,22,2,3,5,1,2,1,18,2,0,50,34,4,34,
16981,1,22,4,3,1,1,2,2,0,3,0,13,16,5,16,
16984,-1,26,0,2,0,0,1,2,3,2,0,9,36,0,0,
16985,1,23,1,3,1,0,2,2,10,2,0,29,45,2,8,
16987,-1,26,0,3,1,0,1,4,6,2,0,136,45,0,0,
16988,-1,22,2,2,0,1,1,3,12,2,2,100,57,1,60,
16991,1,21,0,2,0,2,1,1,8,2,0,13,17,0,0,
16994,1,24,1,3,0,0,1,2,3,2,0,136,47,1,5,
16996,-1,24,2,2,0,1,1,2,8,2,0,13,58,3,10,
17006,-1,22,0,3,0,1,1,4,8,2,0,107,21,1,0,
